date,temperature,precipitation,wind,trip_count
2022-03-27,5.9,0,82,45550
2022-09-02,21.7,0,44,116200
2022-09-05,25.8,3,39,93630
2022-11-02,17.6,0,27,117245
2022-09-20,23.2,0,52,129800
2022-05-07,10.0,269,89,20533
2022-05-09,13.5,0,70,93923
2022-02-22,5.6,58,45,36435
2022-12-01,5.7,0,76,72936
2022-05-15,18.8,5,31,108300
2022-05-19,15.5,183,30,90088
2022-04-23,13.3,0,31,94455
2022-04-24,12.8,0,41,83300
2022-08-04,29.1,0,42,117773
2022-08-08,30.3,0,55,103871
2022-12-11,3.4,64,57,32622
2022-03-24,5.7,259,76,45771
2022-02-28,0.8,0,52,45574
2022-08-27,27.8,0,30,117503
2022-09-04,25.3,0,30,99194
2022-10-30,12.5,0,17,95428
2022-09-09,21.9,0,40,133400
2022-09-17,20.8,0,42,130130
2022-08-12,25.6,0,50,122293
2022-10-18,12.6,0,49,100843
2022-02-18,9.9,64,91,46997
2022-04-19,7.6,290,88,58799
2022-07-16,24.3,140,35,111295
2022-12-20,1.9,0,52,58503
2022-12-21,1.0,0,21,59034
2022-12-23,7.5,241,109,25917
2022-12-25,-6.9,0,74,9070
2022-12-29,6.4,0,34,51489
2022-01-01,11.6,193,28,20198
2022-01-04,-2.7,0,39,35869
2022-01-09,1.4,28,49,21104
2022-01-23,-0.7,3,42,32879
2022-10-12,17.9,0,35,118500
2022-06-05,20.0,0,32,115732
2022-07-08,23.5,74,30,98090
2022-08-03,27.6,0,39,124585
2022-08-06,29.6,0,42,122434
2022-11-08,13.2,0,61,96386
2022-03-21,10.4,0,64,73147
2022-03-02,7.7,0,47,67072
2022-03-11,7.2,0,31,69240
2022-03-15,11.6,0,41,78886
2022-10-25,16.9,3,33,97977
2022-09-13,24.7,429,43,122211
2022-09-19,25.6,18,43,102657
2022-05-06,14.8,188,38,35104
2022-08-11,26.6,33,33,113852
2022-10-23,14.7,0,60,66423
2022-02-07,0.5,38,31,30675
2022-02-09,2.8,0,37,55885
2022-02-17,11.6,76,56,67364
2022-02-20,-2.6,0,58,31023
2022-09-30,14.5,0,56,115044
2022-06-24,21.9,0,25,123995
2022-06-30,25.4,0,34,115996
2022-05-21,21.2,0,26,114968
2022-01-03,1.4,0,64,32453
2022-01-10,1.6,0,75,34172
2022-01-24,-0.2,0,36,41429
2022-08-22,24.5,61,34,85753
2022-08-26,27.4,71,40,108574
2022-07-01,28.1,0,47,103227
2022-07-09,24.7,0,31,122887
2022-05-29,20.7,0,26,101036
2022-06-02,20.3,132,31,98469
2022-12-06,9.3,198,46,52482
2022-12-19,1.7,0,72,54217
2022-11-07,21.3,5,58,107010
2022-04-02,7.2,0,61,73160
2022-02-26,-1.1,0,50,41366
2022-02-27,2.4,0,72,42746
2022-03-06,9.6,13,47,54475
2022-03-08,8.7,0,82,62126
2022-03-10,4.0,0,25,66012
2022-10-16,16.1,0,19,100901
2022-10-19,10.0,0,50,99671
2022-02-06,-4.8,0,32,28761
2022-02-11,8.6,0,50,64453
2022-09-28,17.2,0,45,123470
2022-04-14,16.3,28,49,90561
2022-11-28,12.2,0,72,72897
2022-06-17,25.2,0,56,119330
2022-07-11,24.0,0,52,111012
2022-07-15,26.1,0,39,119100
2022-12-31,8.2,79,21,31372
2022-01-27,-4.2,0,37,43737
2022-01-29,-4.8,124,102,2809
2022-07-02,28.7,0,40,88597
2022-07-30,26.7,0,47,122821
2022-12-08,11.6,0,52,89149
2022-12-13,0.3,0,51,65298
2022-03-22,10.7,0,72,75173
2022-04-01,13.1,66,76,68421
2022-10-26,18.3,0,29,112502
2022-10-31,14.4,18,27,96286
2022-09-16,19.6,0,26,131380
2022-09-22,21.8,43,62,101965
2022-08-15,24.3,0,29,111469
2022-10-22,14.4,0,20,111088
2022-02-25,0.8,208,66,30362
2022-04-11,8.8,0,47,75295
2022-04-18,7.9,234,57,55762
2022-04-20,9.4,0,55,85222
2022-04-21,10.6,0,54,77464
2022-04-29,10.4,0,77,86992
2022-04-30,12.9,0,36,101420
2022-06-13,24.2,0,24,111353
2022-12-26,-4.7,0,53,19134
2022-01-15,-6.7,0,58,22626
2022-01-21,-6.0,0,62,33490
2022-01-26,-2.3,0,56,41908
2022-02-02,2.3,0,23,41776
2022-07-05,25.9,20,55,88753
2022-07-06,26.0,0,46,112614
2022-05-31,28.3,0,51,100200
2022-12-02,3.4,0,30,74779
2022-11-14,6.3,0,59,73842
2022-03-09,3.2,147,44,28060
2022-03-16,13.6,0,35,81385
2022-05-11,16.1,0,41,106985
2022-08-14,24.0,0,39,111296
2022-02-14,-4.3,0,79,34119
2022-10-03,11.5,114,84,49434
2022-04-13,15.4,0,34,98653
2022-04-16,15.7,36,56,82081
2022-11-19,2.8,0,50,59288
2022-11-23,9.4,0,34,73676
2022-05-17,19.7,0,70,117273
2022-04-17,8.3,0,70,54053
2022-07-18,26.2,86,46,83254
2022-01-06,4.9,0,50,44226
2022-01-16,-8.0,91,55,20720
2022-01-17,3.9,269,86,28990
2022-01-31,-3.4,0,29,22243
2022-10-09,12.3,0,35,93591
2022-08-05,29.3,0,36,113932
2022-12-03,10.6,104,58,45282
2022-12-07,13.8,91,38,73840
2022-12-18,3.1,0,63,48062
2022-11-10,12.6,0,26,108844
2022-11-11,16.4,312,42,54676
2022-03-19,13.1,18,33,77738
2022-03-31,9.9,13,48,72571
2022-07-27,25.5,0,36,124724
2022-11-01,16.9,41,39,103587
2022-09-21,22.0,0,33,133363
2022-05-02,12.1,89,43,54502
2022-08-10,27.2,0,38,123320
2022-09-26,19.4,0,49,105262
2022-09-29,16.6,0,51,121186
2022-04-05,9.7,15,34,72590
2022-06-23,19.2,0,38,117142
2022-06-27,24.3,122,40,79391
2022-06-29,23.9,0,32,121331
2022-11-21,1.1,0,51,59545
2022-11-25,10.0,0,60,42995
2022-11-27,10.7,137,48,34515
