GeoID,Borough,population,median_hh_income
QN0401,Elmhurst,107864,66727.0
QN0402,Corona,73822,65063.0
QN0501,Maspeth,43257,88646.0
QN0502,Ridgewood,66402,82406.0
QN0503,Glendale,35135,91910.0
QN0504,Middle Village,34474,90877.0
QN0601,Rego Park,30741,82433.0
QN0602,Forest Hills,88965,101983.0
QN0701,College Point,33625,85259.0
QN0702,Whitestone-Beechhurst,28408,94837.0
QN0703,Bay Terrace-Clearview,23287,102712.0
QN0704,Murray Hill-Broadway Flushing,57387,69932.0
QN0705,East Flushing,34704,56881.0
QN0706,Queensboro Hill,23638,69238.0
QN0707,Flushing-Willets Point,69879,51739.0
QN0801,Kew Gardens Hills,36009,86465.0
QN0802,Pomonok-Electchester-Hillcrest,35669,74228.0
QN0803,Fresh Meadows-Utopia,23434,96660.0
QN0804,Jamaica Estates-Holliswood,23576,87218.0
QN0805,Jamaica Hills-Briarwood,39292,83557.0
QN0901,Kew Gardens,24371,94088.0
QN0902,Richmond Hill,34100,76511.0
QN0903,South Richmond Hill,24141,87466.0
QN0904,Ozone Park (North),27312,83861.0
QN0905,Woodhaven,41948,83374.0
QN1001,South Ozone Park,79540,98035.0
QN1002,Ozone Park,23518,82472.0
QN1003,Howard Beach-Lindenwood,27320,96617.0
QN1101,Auburndale,36182,90231.0
QN1102,Bayside,35588,106282.0
QN1103,Douglaston-Little Neck,25262,111992.0
QN1104,Oakland Gardens-Hollis Hills,25249,101530.0
QN1201,Jamaica,60993,61084.0
QN1202,South Jamaica,44401,72509.0
QN1203,Baisley Park,43090,82542.0
QN1204,Springfield Gardens (North)-Rochdale Village,32883,68394.0
QN1205,St. Albans,51816,94606.0
QN1206,Hollis,24576,82004.0
QN1301,Glen Oaks-Floral Park-New Hyde Park,23364,113329.0
QN1302,Bellerose,26566,105481.0
QN1303,Queens Village,54345,95490.0
QN1304,Cambria Heights,19081,118381.0
QN1305,Laurelton,26088,108545.0
QN1306,Springfield Gardens (South)-Brookville,23103,113122.0
QN1307,Rosedale,27101,101671.0
QN1401,Far Rockaway-Bayswater,58648,59782.0
QN1402,Rockaway Beach-Arverne-Edgemere,41367,58517.0
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,24134,107963.0
SI0101,St. George-New Brighton,20549,70899.0
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,19027,54654.0
SI0103,Rosebank-Shore Acres-Park Hill,25510,72728.0
SI0104,West New Brighton-Silver Lake-Grymes Hill,37010,104903.0
SI0105,Westerleigh-Castleton Corners,31458,122330.0
SI0106,Port Richmond,22609,72872.0
SI0107,Mariner's Harbor-Arlington-Graniteville,33492,86509.0
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,36259,81910.0
SI0202,New Dorp-Midland Beach,29083,92963.0
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,32822,104412.0
SI0204,New Springville-Willowbrook-Bulls Head-Travis,42871,99335.0
SI0301,Oakwood-Richmondtown,22388,101929.0
SI0302,Great Kills-Eltingville,54699,119633.0
SI0303,Arden Heights-Rossville,30683,107701.0
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,40534,112914.0
SI0305,Tottenville-Charleston,16089,118044.0
