station_name,lat,lng,no_return_pc,daily_deps,daily_arrs
27 Ave & 9 St,40.7739825,-73.9309134,1.3,18.4,18.2
27 St & Hunter St,40.7485,-73.941275,-0.3,48.7,48.9
28 Ave & 35 St,40.7671,-73.9169858,0.8,22.6,22.4
28 Ave & 44 St,40.76408932350688,-73.91065120697021,1.3,17.6,17.4
28 St & 36 Ave,40.757186,-73.932719,1.9,22.8,22.3
28 St & 41 Ave,40.751047,-73.93797,-0.5,44.7,44.9
29 St & 5 Ave,40.656986,-73.998194,-4.5,6.4,6.7
3 Ave & 14 St,40.6685455,-73.99333264,-4.5,10.6,11.1
3 Ave & 17 St,40.666168,-73.995549,-3.2,5.4,5.5
3 Ave & Carroll St,40.677027,-73.9865,-3.5,20.7,21.5
3 Ave & E 100 St,40.7877214,-73.94728331,-0.2,26.4,26.4
3 Ave & E 112 St,40.795508,-73.941606,-2.2,26.4,27.0
3 Ave & E 163 St,40.823872,-73.908699,0.0,10.0,10.0
3 Ave & E 169 St,40.832678,-73.905158,-3.2,18.8,19.4
3 Ave & E 170 St,40.834857,-73.903743,-3.1,15.9,16.3
3 Ave & E 172 St,40.839586,-73.900277,-4.8,8.9,9.3
3 Ave & E 174 St,40.84224,-73.8985,-0.1,8.7,8.7
3 Ave & E 62 St,40.76312584,-73.96526895,-0.3,107.6,107.9
3 Ave & E 71 St,40.76873687,-73.96119945,1.6,58.9,58.0
3 Ave & E 72 St,40.7699426,-73.96060712,5.8,44.5,41.9
3 Ave & Franklin Ave,40.82696,-73.907451,-1.6,7.9,8.0
3 Ave & Schermerhorn St,40.68683208,-73.9796772,-0.8,52.4,52.9
3 Ave & Wakeman Pl,40.638246,-74.024714,-3.4,5.2,5.4
3 St & 3 Ave,40.6750705,-73.98775226,-4.2,33.5,34.9
3 St & 7 Ave,40.6703837,-73.97839676,0.0,67.4,67.4
3 St & Hoyt St,40.6777287,-73.99364123,-6.7,22.9,24.4
3 St & Prospect Park West,40.668132,-73.97363831,3.0,80.9,78.5
30 Ave & 12 St,40.77171710520828,-73.93159255385399,0.3,7.5,7.5
30 Ave & 21 St,40.7703743,-73.9286078,-0.6,17.4,17.5
30 Ave & 41 St,40.763422,-73.914142,0.3,24.2,24.1
30 Ave & 47 St,40.761294,-73.909562,2.6,14.1,13.7
30 St & 4 Ave,40.657743,-74.001141,-5.9,11.4,12.0
30 St & 48 Ave,40.7413272,-73.937999,-2.5,3.0,3.1
31 Ave & 14 St,40.7682,-73.9322662,-0.4,19.7,19.8
31 Ave & 30 St,40.7647,-73.9240312,-0.3,30.9,31.0
31 Ave & 34 St,40.763154,-73.920827,-0.2,41.0,41.1
31 Ave & 57 St,40.757357,-73.904726,0.3,6.2,6.2
31 Ave & 61 St,40.757525,-73.901614,-0.8,6.9,6.9
31 Ave & Crescent St,40.7658346,-73.9265474,0.5,37.5,37.3
31 Ave & Steinway St,40.7611488,-73.9170071,-0.9,35.1,35.5
31 Pl & Hunters Point Ave,40.74021356884924,-73.93537044525146,-2.1,1.7,1.8
31 Rd & 21 St,40.766824,-73.930486,0.4,11.7,11.7
31 St & 21 Ave,40.77813,-73.90842,0.8,16.3,16.2
31 St & 23 Ave,40.7747878,-73.9125551,-0.3,54.4,54.6
31 St & Astoria Blvd,40.7699176,-73.9184057,-0.8,20.6,20.7
31 St & Broadway,40.761584,-73.925921,0.8,60.1,59.6
31 St & Ditmars Blvd,40.776168,-73.910485,-0.4,43.3,43.5
31 St & Hoyt Ave N,40.7711528,-73.9170074,-0.1,26.9,26.9
31 St & Newtown Ave,40.7675487799971,-73.9209334552288,-0.1,66.0,66.1
